model,year,price,type,distance,fuel,tax,miles per galoon,size
4,2017,12000.0,0,15944.0,2,150,57.7,1.0
5,2015,7830.0,1,50124.0,0,0,74.3,1.5
4,2016,10798.0,1,11843.0,2,0,65.7,1.0
5,2019,15495.0,1,5600.0,2,145,60.1,1.0
0,2013,5698.0,1,44901.0,2,145,47.1,1.4
5,2019,14799.0,1,6249.0,2,145,60.1,1.0
5,2019,17498.0,1,2714.0,2,150,49.6,1.0
4,2016,9998.0,1,6820.0,2,0,65.7,1.0
11,2017,16998.0,1,13626.0,0,125,60.1,2.0
11,2017,16200.0,2,23027.0,0,145,58.9,1.5
11,2019,17698.0,1,4844.0,2,145,34.4,1.5
11,2016,13499.0,1,38687.0,0,145,54.3,2.0
4,2019,13998.0,1,9957.0,2,145,58.9,1.0
5,2019,18698.0,1,15365.0,2,145,60.1,1.0
11,2017,15300.0,1,47159.0,0,145,54.3,2.0
5,2015,12998.0,1,25878.0,0,20,67.3,2.0
2,2017,9498.0,1,25939.0,2,145,53.3,1.0
1,2017,9330.0,1,29617.0,0,20,68.9,1.5
4,2015,7485.0,1,11092.0,2,125,54.3,1.2
0,2014,6995.0,2,50800.0,2,160,44.1,1.6
5,2016,10298.0,1,15510.0,0,0,74.3,1.5
4,2019,11798.0,1,5530.0,2,150,48.7,1.1
10,2019,8495.0,1,32.0,2,145,48.7,1.2
11,2019,23250.0,2,9931.0,0,145,38.7,2.0
4,2016,7995.0,1,20700.0,2,125,54.3,1.2
4,2017,8998.0,1,5233.0,2,125,54.3,1.2
5,2018,14000.0,1,9083.0,2,150,57.7,1.0
4,2015,6990.0,1,29851.0,0,0,76.4,1.5
4,2016,8998.0,1,31373.0,2,0,65.7,1.0
4,2015,9495.0,1,17288.0,2,0,65.7,1.0
5,2017,9998.0,1,22001.0,2,20,60.1,1.0
5,2019,14799.0,1,8560.0,2,145,60.1,1.0
14,2017,17498.0,1,17051.0,0,150,56.5,2.0
11,2013,9498.0,1,29326.0,0,200,47.9,2.0
4,2016,7398.0,1,35180.0,2,125,54.3,1.2
1,2016,10500.0,2,13580.0,0,20,64.2,1.5
11,2016,11000.0,1,31810.0,0,125,60.1,2.0
11,2017,15999.0,1,15005.0,0,145,54.3,2.0
5,2019,16698.0,1,4542.0,2,145,60.1,1.0
5,2019,16998.0,1,7924.0,0,145,80.7,1.5
4,2013,7490.0,1,25000.0,2,0,65.7,1.0
2,2016,9998.0,2,18325.0,2,160,44.8,1.5
4,2019,17498.0,1,3265.0,2,145,58.9,1.0
4,2016,6000.0,1,47613.0,2,0,65.7,1.0
4,2019,13950.0,1,6700.0,2,145,58.9,1.0
4,2017,9998.0,1,20347.0,2,0,65.7,1.0
4,2019,11798.0,1,4590.0,2,150,48.7,1.1
5,2017,13000.0,1,12456.0,2,150,57.7,1.0
3,2016,18640.0,1,24105.0,0,160,48.7,2.0
11,2018,18498.0,1,7796.0,0,145,54.3,1.5
0,2013,5995.0,1,42996.0,0,20,70.6,1.6
4,2020,17298.0,1,4563.0,2,145,54.3,1.0
4,2013,5998.0,1,44304.0,0,0,76.4,1.5
4,2017,10698.0,2,11235.0,2,0,57.7,1.0
4,2019,11498.0,1,17708.0,2,145,58.9,1.0
5,2015,13200.0,1,32000.0,0,20,67.3,2.0
2,2017,8700.0,1,43081.0,2,145,44.8,1.5
11,2017,17299.0,1,14224.0,0,145,54.3,2.0
12,2016,9998.0,1,38358.0,0,0,78.5,1.5
4,2017,9998.0,1,10721.0,2,145,65.7,1.0
5,2017,10760.0,1,29891.0,2,145,60.1,1.0
5,2017,12498.0,1,9338.0,2,145,60.1,1.0
5,2019,15998.0,0,11045.0,2,145,41.5,1.0
10,2019,8995.0,1,5122.0,2,145,43.5,1.2
4,2017,10850.0,1,23634.0,2,150,65.7,1.0
